src,dst,similarity
1,280,0.9569020683327998
1,997,0.9565269894180614
1,1236,0.9567461501752356
6,57,0.9623191850941665
6,82,0.9661722872652426
6,131,0.9605763368855117
6,259,0.9578480816300617
6,280,0.9664919540417708
6,339,0.9560469401205195
6,345,0.956438250975529
6,350,0.9686053837071976
6,463,0.9585969635136617
6,506,0.9506763783946054
6,537,0.9694831585397952
6,541,0.9670311309886417
6,584,0.966651434080568
6,587,0.9808524669446692
6,646,0.9656450115230039
6,733,0.9649272899386095
6,735,0.9564413495860201
6,762,0.9684965497820722
6,774,0.9506303546477249
6,792,0.9701758264125242
6,872,0.9506076775715048
6,944,0.978002030040925
6,1154,0.9629945792287012
6,1186,0.9612752485393858
6,1193,0.9614368284977436
6,1233,0.9533433632591034
6,1236,0.9668807103648036
11,1077,0.9519804362342684
12,403,0.9561658805193672
12,887,0.9505985991391844
13,1116,0.952415174044212
18,57,0.9509191071403608
18,82,0.9584534579374022
18,218,0.9545054595220732
18,294,0.9514414610577969
18,327,0.9574092948121941
18,563,0.9513920087459146
18,584,0.9701654354758429
18,587,0.9500027834630326
18,588,0.9620085874620807
18,656,0.959177825790887
18,925,0.9568839228487622
18,944,0.9540245499917345
18,1106,0.9549810850935722
18,1241,0.9639836675763472
18,1289,0.9659122006019772
23,301,0.9574361333201995
30,45,0.9510936000234704
31,474,0.951308053990615
34,160,0.9545266760703894
34,537,0.9520717405457826
38,1001,0.951755902146729
38,1241,0.9587590827612035
40,848,0.9577441098621259
44,112,0.9593291641149196
44,171,0.9608072904167546
44,1247,0.9537463776397832
45,30,0.9510936000234704
45,1294,0.9577763084582448
46,270,0.9541471569079101
46,537,0.9542974590588027
46,573,0.9555899960295381
46,1166,0.9563164117851992
48,82,0.9501372039637768
48,160,0.9607076516417795
48,190,0.9522614608790371
48,348,0.9513086359602864
48,474,0.9518331039114679
48,537,0.9529879314080647
48,584,0.9573666786590338
48,598,0.9589695765722183
48,762,0.9660411319870268
48,863,0.9536642375201999
48,1117,0.9513405389075504
48,1170,0.9662574306521465
48,1241,0.9590232205260446
53,57,0.9539752014942005
55,256,0.9553629220711877
55,360,0.9549306789221412
55,1086,0.9511598061184848
55,1117,0.9506465233564805
56,74,0.9503678130809535
56,1057,0.9522359431664763
57,6,0.9623191850941665
57,18,0.9509191071403608
57,53,0.9539752014942005
57,82,0.962644536987869
57,131,0.9587850603384742
57,339,0.9521582446087452
57,537,0.9511076453313496
57,541,0.9510407432482308
57,584,0.9698880249862587
57,587,0.9530544625191643
57,760,0.9627138006894284
57,792,0.9542985213768332
57,913,0.9610079034454727
57,944,0.9701661222427742
57,1193,0.9548928279523267
61,218,0.9526552580242298
61,1022,0.950869478709372
61,1189,0.9507528777307984
64,124,0.9635332249828981
66,625,0.952726715344092
66,1127,0.9545144860179835
68,124,0.9554426273563297
68,380,0.962077495055078
68,716,0.9594499934819515
68,899,0.9537793950426356
68,1091,0.9585573422336129
68,1205,0.9560368780815723
73,82,0.9639619575827558
73,259,0.9626709031785597
73,268,0.9511843603344793
73,404,0.9598026994964342
73,498,0.9652842562320961
73,541,0.956963391995112
73,587,0.9518397950269991
73,641,0.962348248158348
73,691,0.9605156634384046
73,766,0.951881149103246
73,770,0.9546875411796861
73,898,0.953649430196333
73,921,0.9508686394406314
73,997,0.9505342769060369
73,1064,0.9555024957779934
73,1180,0.9542326992774238
73,1236,0.9506178493188264
73,1299,0.9531071829276221
74,56,0.9503678130809535
74,93,0.9559391669650849
74,131,0.9621041032741954
74,537,0.9635774190513601
74,541,0.9601585285148706
74,552,0.9629424275654266
74,777,0.9503553926510618
74,792,0.9545193673613013
74,1154,0.9669203928054876
74,1169,0.9517275074986756
74,1233,0.9536099461428866
74,1275,0.9536188016109858
78,1046,0.9506501031604583
81,131,0.9570930849378944
81,142,0.9544416079537275
81,259,0.9507747093308244
81,523,0.9701106253936252
81,541,0.952878282941052
81,584,0.9569525384078635
81,606,0.9503262957319302
81,766,0.9512814164729372
81,777,0.9764899295015572
81,910,0.9551825191337467
81,944,0.9589624360619343
81,1154,0.9574011369726235
81,1219,0.9548103380060483
81,1237,0.9539970886782951
82,6,0.9661722872652426
82,18,0.9584534579374022
82,48,0.9501372039637768
82,57,0.962644536987869
82,73,0.9639619575827558
82,109,0.9631650084150868
82,131,0.9612282830049944
82,146,0.968496319221712
82,153,0.9586333561226166
82,171,0.9553946935331559
82,218,0.9579197624054783
82,233,0.9504216351044383
82,259,0.9663176392124734
82,268,0.9692347312030384
82,280,0.9627590842058523
82,298,0.9568465595994052
82,301,0.9528648343716998
82,339,0.9698127804795317
82,341,0.9603126335672927
82,376,0.9508872990032631
82,404,0.9623483875308798
82,463,0.9531258659286838
82,498,0.9549421126573729
82,506,0.9708983598948738
82,537,0.9729183792312653
82,541,0.9794696075262028
82,552,0.9532257311954093
82,584,0.9844748210907205
82,587,0.974761446033754
82,588,0.9598604313681877
82,595,0.9662600452588361
82,609,0.9634742270204218
82,625,0.975904335779004
82,626,0.9512803390325867
82,643,0.9639072074079127
82,648,0.9577802066450363
82,650,0.9586972735991054
82,691,0.961401891551179
82,733,0.953348566305193
82,762,0.9525109310842897
82,763,0.9503152155921527
82,766,0.9559416352210385
82,770,0.9634296043940482
82,792,0.9667074700877951
82,797,0.9554977494794217
82,925,0.9643580661246984
82,944,0.9748495927675102
82,1022,0.9543619384913332
82,1064,0.9535786257598153
82,1091,0.958937587360949
82,1117,0.9571745171768153
82,1127,0.9537347965448024
82,1172,0.9535467038553168
82,1180,0.9655903002328907
82,1198,0.9669402754404296
82,1219,0.9524597019384304
82,1231,0.9536874656355657
82,1233,0.9638319590991943
82,1236,0.9692336132438272
82,1241,0.9605924717287876
82,1245,0.9540899339681639
82,1261,0.9684941319708463
82,1270,0.9627843559481639
83,1056,0.9535900109703167
83,1241,0.9628211692857452
85,328,0.9523575806808989
85,794,0.9628862326482988
92,105,0.9544088603215128
92,393,0.9521385294671055
92,641,0.9647728981256084
92,1047,0.950690885649477
92,1233,0.9646298428314138
93,74,0.9559391669650849
93,131,0.9779220256090337
93,171,0.9506920847794633
93,541,0.960470694307832
93,584,0.9608350746141527
93,944,0.9605611225464766
93,1154,0.9619780047686508
93,1193,0.9546920515026599
93,1275,0.9632090672606745
96,403,0.9541438840339392
96,404,0.9511612298666394
96,648,0.9622645184627321
96,650,0.9536622228383695
96,1091,0.9561333147035511
97,910,0.9520921530693432
99,877,0.9522621225581159
105,92,0.9544088603215128
105,1270,0.9506449944047591
107,388,0.9712070685104228
107,453,0.9512934928407372
107,944,0.9553105070925333
107,1047,0.9547800178011528
107,1236,0.9583171782473433
109,82,0.9631650084150868
109,341,0.9606562722641423
109,584,0.9634977504469943
109,587,0.9533826856539903
109,625,0.9598300437573131
109,632,0.9586082307072892
109,687,0.9504156540138744
109,691,0.9547270865162775
109,869,0.9538312759302828
109,876,0.9514560393279883
109,880,0.9515458908442276
109,944,0.9566588530925065
109,1054,0.9543911989320316
112,44,0.9593291641149196
112,341,0.9628635519050064
112,588,0.953987880345972
112,846,0.9503439808630111
112,1086,0.9511100538866187
112,1105,0.9573237949613412
112,1117,0.9641479198132259
112,1247,0.9569075208538449
112,1264,0.9578750162694369
124,64,0.9635332249828981
124,68,0.9554426273563297
124,380,0.9519940696170718
124,666,0.9542975934129636
124,716,0.9532418989008408
124,752,0.9640295447552434
127,1186,0.9528946763719109
129,591,0.9543133629616045
131,6,0.9605763368855117
131,57,0.9587850603384742
131,74,0.9621041032741954
131,81,0.9570930849378944
131,82,0.9612282830049944
131,93,0.9779220256090337
131,171,0.9604190037618145
131,259,0.9544873156421809
131,268,0.95114170397361
131,319,0.9504282974566071
131,341,0.9745301355829096
131,343,0.9635348101778863
131,537,0.9598333181020566
131,541,0.9645943675040252
131,552,0.963556246773211
131,563,0.9577767582256744
131,584,0.9687965401334849
131,587,0.9662157873808106
131,588,0.956277362718327
131,595,0.9517885264079257
131,687,0.9547453245641286
131,733,0.9564623299728656
131,746,0.9588543635914025
131,777,0.9582044906935225
131,792,0.9568441861763772
131,925,0.9632262450395627
131,944,0.9689523728390462
131,1065,0.9564978421422673
131,1154,0.9824449745725875
131,1162,0.9612598483808923
131,1169,0.9636938495856818
131,1193,0.9726153961978359
131,1236,0.9537191336474776
131,1275,0.952659030808029
133,1247,0.966897626604582
135,325,0.9607355913366118
139,339,0.9557609372020658
142,81,0.9544416079537275
142,259,0.9570846120809176
142,588,0.9636684343924494
144,1264,0.9711300978632582
145,717,0.9544830563312394
146,82,0.968496319221712
146,474,0.9517280142392028
146,498,0.960305377553521
146,584,0.956437525482905
146,643,0.9626612998291676
146,1105,0.9537724358659553
146,1117,0.9607559491542744
147,287,0.9543395594482469
153,82,0.9586333561226166
153,1091,0.9519479910095473
153,1199,0.9501019313166978
156,1091,0.9521556878030742
156,1115,0.9550537822020112
160,34,0.9545266760703894
160,48,0.9607076516417795
160,268,0.9553737878312675
160,537,0.9595254005115822
160,584,0.9638709090417488
160,587,0.9574356948753776
160,792,0.9567437268755835
160,807,0.95960477111841
160,827,0.9564279298167373
160,869,0.9529013339129679
160,944,0.9555930653965174
160,992,0.9605109056667032
160,1022,0.9708583778999569
160,1236,0.9601009792579206
163,339,0.9652654207634436
163,341,0.9551742974484996
163,584,0.9506361691929759
163,595,0.9548231528128245
163,605,0.9500658066304425
163,731,0.9600471228920505
163,1162,0.9560364809604908
163,1236,0.9577043860997467
171,44,0.9608072904167546
171,82,0.9553946935331559
171,93,0.9506920847794633
171,131,0.9604190037618145
171,218,0.9633166846767713
171,453,0.9525876417668524
171,584,0.9663706234964594
171,588,0.9609489279221619
171,625,0.9518524622404416
171,643,0.9545815528090632
171,925,0.9685822702075805
171,944,0.9724572063878275
171,1086,0.9525216721488314
171,1117,0.9515115585802238
171,1193,0.9538711890887033
171,1247,0.9512437510812531
175,523,0.9711315006426606
175,766,0.9515745798540898
183,185,0.9633602702417936
183,1232,0.9534135801412966
185,183,0.9633602702417936
188,584,0.952823642489765
190,48,0.9522614608790371
190,1283,0.9506817146191415
193,1189,0.9699461153330663
196,259,0.9556558598490225
198,232,0.9503822752625758
198,350,0.9576965582795577
198,552,0.9509031063379613
198,739,0.960606242684292
198,898,0.9658218827421351
198,1065,0.9646872303354731
200,762,0.9530295291906481
200,1242,0.9616742418239066
201,258,0.9592024206395616
201,997,0.9631105062093998
201,1047,0.9557008531773384
201,1094,0.9541436999803141
201,1299,0.9538382004229428
218,18,0.9545054595220732
