id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,label
0,0.0473434254527092,-0.18703702092170715,0.08085552603006363,-0.15102308988571167,-0.027434978634119034,-0.06080161780118942,-0.00080121960490942,0.043008849024772644,0.20706699788570404,0.03229903802275658,0.0
1,-0.09607632989521887,-0.08825879936396587,-0.031233009794482687,-0.15487305549752028,0.08594716741268325,0.13061786505783007,-0.10045796014047916,0.006695497170334957,0.04799004165898459,0.03748103502954616,0.0
2,0.01864283533498951,0.07261097630391271,-0.05063221039203714,-0.06977851677499392,0.13332084642689182,0.04034092174481481,-0.0064151988402763845,-0.059872637668966854,-0.0357871572125584,-0.002961753943316281,0.0
3,-0.014667999171824367,-0.05392525205119185,-0.038599376209916686,-0.10203943800189773,0.07455020918105557,0.08294090599304547,-0.03545871682264853,-0.04701436123017359,0.01284613660957095,-0.004317819720772267,0.0
4,0.020768440433596148,0.08535760042997743,-0.02748290825127889,0.011371960095697787,0.1657895839660489,0.03312437842501615,0.0353464959935111,-0.10699552677948466,-0.030740124443015916,-0.09626069965988125,0.0
5,0.06427363492132697,0.07396714609681761,0.010622675694148277,0.0018213827812966579,0.15542487033720437,-0.00035232042206362595,-0.022675044380472777,-0.13791821884833985,0.018363387328073646,-0.17229561394474113,0.0
6,0.049734426137787856,0.13793694478962784,0.05094317574021888,0.0865808348184794,0.22264923303034798,-0.006894835321789329,0.00624536237968453,-0.1402110581168498,-0.025150255926338762,-0.22692226985169725,0.0
7,0.025870779996312418,0.050644878565907235,-0.03162265096770967,-0.062467058941601185,0.1328193976221905,0.05213569513993498,0.008516880607427915,-0.10352141537306898,-0.010367855268680018,-0.04377595054698579,0.0
8,0.009863268435001373,-0.06288769388881822,-0.024195516135854026,-0.005800439653297265,0.13381776770887277,0.08460508676245809,0.06254905175960934,-0.046133855426063144,0.053378547754449154,-0.10695864689070732,0.0
9,0.0032510476113773537,0.060518833279317286,-0.03397421058413551,-0.04709870057981894,0.13232462729738895,0.06499305528014639,9.204952728523071e-05,-0.08331355116489819,-0.007006588055911951,-0.05044143767025711,0.0
10,-0.01655103394511604,-0.015405994753732725,-0.044867644102648936,-0.07756136223906651,0.10130611701902967,0.13873390254512843,-0.015689438228340197,-0.057298352148521824,0.003882005129222913,-0.05099508819532477,0.0
11,-0.0215595686607355,0.04622067044507347,-0.05522370199426351,-0.1275771792644781,0.11441303108814263,0.05649978313401031,-0.017883018599640504,-0.10501902769365366,0.03556040070001401,-0.015627304801954796,0.0
12,-0.005413754427203591,2.862828011374648e-05,-0.03954011529695425,-0.07448073958711153,0.08414257970161554,0.044141451510169155,-0.008060970982230018,-0.04903794434688213,0.011780176585449314,-0.016762969094305868,0.0
